strata,year,biomass,cv
Western AI,1980,0,NA
SBS,1980,44.8,1.0004523732589592
Central AI,1980,2664.5,0.42898427958414687
Eastern AI,1980,4164.8,0.8644512212350841
Western AI,1983,7249.4,0.36660653843598145
Eastern AI,1983,11786.8,0.34160500157135315
SBS,1983,9477,0.4290974683342874
Central AI,1983,7239.3,0.2940355962278996
SBS,1986,6485.4,0.6357488724440185
Western AI,1986,1821.4,0.2198285787607401
Eastern AI,1986,5554.4,0.32420818945719143
Central AI,1986,4291.4,0.528484615867816
Central AI,1991,3224.6,0.34962820686507523
Eastern AI,1991,1053.2,0.5272732029782653
SBS,1991,1925.2,0.6599781797224442
Western AI,1991,17557.6,0.8571520874731599
Central AI,1994,8164.3,0.26558263902442725
Western AI,1994,6493.2,0.3636314331929951
Eastern AI,1994,11626.9,0.4136376956543637
SBS,1994,1959.1,0.775935093382316
SBS,1997,2428.4,0.9719779051889224
Eastern AI,1997,7840.2,0.40850578648592895
Western AI,1997,6657.9,0.4563541664486809
Central AI,1997,21560.2,0.4014016172041174
Western AI,2000,17746.1,0.9153524157390018
Central AI,2000,13543,0.16894338116883284
SBS,2000,645.3,0.7328469890503969
Eastern AI,2000,5862.7,0.4020629055023248
SBS,2002,1463.2,0.652794653149657
Central AI,2002,8639.2,0.24277911939264518
Western AI,2002,3906.2,0.5467120185064421
Eastern AI,2002,2796.6,0.2645226450513989
Eastern AI,2004,7499.4,0.4638209760075703
SBS,2004,630.3,0.6032067442266096
Western AI,2004,16332.8,0.7104062761189419
Central AI,2004,8779.4,0.17258978274686812
Eastern AI,2006,3975.1,0.705626884342716
SBS,2006,1180.2,0.5213402246785924
Western AI,2006,2470.5,0.2782014488738648
Central AI,2006,5335,0.13090862126118638
Eastern AI,2010,4070.9,0.4017310792232123
SBS,2010,15,0.9987984974857319
Western AI,2010,6728.5,0.47291902147179454
Central AI,2010,7424.3,0.3109606679539094
Western AI,2012,4454.7,0.4762230280639752
Central AI,2012,7181.9,0.42671118683614884
SBS,2012,561.9,0.7123098827203804
Eastern AI,2012,4031.1,0.44191638401464894
Eastern AI,2014,2143.8,0.3511027666614386
SBS,2014,28.1,0.70853055678337
Western AI,2014,1579.1,0.22255182675413535
Central AI,2014,12677.6,0.4835225634578092
Central AI,2016,3149.5,0.14940192054257215
Eastern AI,2016,6029.7,0.3026718233704173
Western AI,2016,5845.6,0.7449863264124402
SBS,2016,74.4,1.0000764237127715
Western AI,2018,11969.6,0.9333641707245364
Eastern AI,2018,11416.9,0.8164898879354721
Central AI,2018,2933.1,0.4434534446598107
SBS,2018,13.3,1.0008759347855116
EBS Slope,2002,4850.77144963602,0.43608685588830914
EBS Slope,2004,2569.51416393506,0.21796743888668632
EBS Slope,2008,7308.11904301717,0.31462000636982407
EBS Slope,2010,4365.46315635241,0.28156000430996403
EBS Slope,2012,9283.96500697346,0.5686754269674819
EBS Slope,2016,6258.04044160625,0.2871975476802488
